Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End 1 Over Voltage Stage 1,End 1 Over Voltage Stage 2,End 2 Over Voltage Stage 1,End 2 Over Voltage Stage 2,,,,,,,End-1 240 MVAR SLR,End-1 240 MVAR NSLR,End-1 330 MVAR SLR,End-1 330 MVAR NSLR,End-2 240 MVAR SLR,End-2 240 MVAR NSLR,End-2 330 MVAR SLR,End-2 330 MVAR NSLR
23,Dharamjaygarh,Raipur-PS(Durg),2,WRTS-1,WRTS-1,WRTS-1,200,Quad Bersimis,2194,470,240,-,-,-,108 %-5 Sec,150%-0.1 Sec,ERLDC,ERLDC,,,,,,,0,1,0,0,0,0,0,0
24,Dharamjaygarh,Jharsuguda,1,WRTS-2,WRTS-2,ERTS-2,303,Hexa Zebra,2470,806,330,Yes,-,-,108 %-7 Sec,150%-0.1 Sec,ERLDC,ERLDC,,,,,,,0,0,1,0,0,0,0,0
25,Dharamjaygarh,Jharsuguda,2,WRTS-2,WRTS-2,ERTS-2,303,Hexa Zebra,2470,806,330,Yes,-,-,107 %-5 Sec,150%-0.1 Sec,107%-7 Sec,150 %-0.1 Sec,,,,,,,0,0,1,0,0,0,0,0
26,Dharamjaygarh,Jabalpur-PS,1,WRTS-1,WRTS-1,WRTS-2,424,Hexa Zebra,2470,1128,330,Yes,240,-,108 %-5 Sec,150%-0.1 Sec,ERLDC,ERLDC,,,,,,,0,0,1,0,0,1,0,0
27,Dharamjaygarh,Jabalpur-PS,2,WRTS-1,WRTS-1,WRTS-2,424,Hexa Zebra,2470,1128,330,Yes,240,-,108 %-7 Sec,150%-0.1 Sec,ERLDC,ERLDC,,,,,,,0,0,1,0,0,1,0,0
28,Dharamjaygarh,Jabalpur-PS,3,JTCL,WRTS-1,WRTS-2,379,Hexa Zebra,2470,1008,330,Yes,240,-,107 %-5 Sec,150%-0.1 Sec,108 %- 4 Sec,150 %-0.1 Sec,,,,,,,0,0,1,0,0,1,0,0
29,Dharamjaygarh,Jabalpur-PS,4,JTCL,WRTS-1,WRTS-2,379,Hexa Zebra,2470,1008,330,Yes,240,-,107 %-7 Sec,150%-0.1 Sec,108 %- 5 Sec,150 %-0.1 Sec,,,,,,,0,0,1,0,0,1,0,0
30,Dhule-BDTCL,Aurangabad-PG,1,BDTCL,BDTCL ,WRTS-I,192,Quad Bersimis,2194,451,240,Yes,-,-,108 %-5 Sec,150%-0.1 Sec,108 %- 6 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,0,0,0
31,Gwalior,Agra,1,NRTS-1/WRTS-2,WRTS-2,NRTS-1,129,Quad Bersimis,2194,303,-,-,-,-,108 %-7 Sec,150%-0.1 Sec,108 %- 7 Sec,150 %-0.1 Sec,,,,,,,0,0,0,0,0,0,0,0
32,Gwalior,Agra,2,NRTS-1/WRTS-2,WRTS-2,NRTS-1,128,Quad Bersimis,2194,301,-,-,-,-,110 %-5 Sec,140 %-0.1 Sec,108 %-5 Sec,150 %-0.1 Sec,,,,,,,0,0,0,0,0,0,0,0
33,Gwalior,Jaipur,1,NRTS-1/WRTS-2,WRTS-2,NRTS-1,304,Quad Bersimis,2194,714,240,Yes,240,-,108 %-5 Sec,150  %-0.1 Sec,108 %-5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
34,Gwalior,Jaipur,2,NRTS-1/WRTS-2,WRTS-2,NRTS-1,311,Quad Bersimis,2194,731,240,Yes,240,-,109 %-7 Sec,150 %-0.1 Sec,109 %-7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
35,Jabalpur-PS,Bhopal-BDTCL,1,BDTCL,WRTS-2,BDTCL,260,Quad Bersimis,2194,611,240,Yes,240,-,108 %-5 Sec,150 %-0.1 Sec,NRLDC,NRLDC,,,,,,,1,0,0,0,0,1,0,0
36,Kholpaur-PG*,Kudgi*,1,WRTS-1,WRTS-1,SRTS-1,191,Hexa Zebra,2470,508,-,-,-,-,107 %-4 Sec,150 %-0.1 Sec,NRLDC,NRLDC,,,,,,,0,0,0,0,0,0,0,0
37,Kholpaur-PG*,Kudgi*,2,WRTS-1,WRTS-1,SRTS-1,191,Hexa Zebra,2470,508,-,-,-,-,108 %-5 Sec,150 %-0.1 Sec,110 %-5 Sec,150 %-0.1 Sec,,,,,,,0,0,0,0,0,0,0,0
38,Koradi(III),Akola(2),1,MEGPTCL,MEGPTCL,MEGPTCL,222,Quad Bersimis,2194,522,240,Yes,240,-,110 %-5 Sec,150 %-0.1 Sec,110 %-5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
39,Koradi(III),Akola(2),2,MEGPTCL,MEGPTCL,MEGPTCL,222,Quad Bersimis,2194,522,240,Yes,240,-,110 %-7 Sec,150 %-0.1 Sec,110 %-7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
