Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End1 50 MVAR SLR,End1 50 MVAR NSLR,End1 63 MVAR SLR,End1 63 MVAR NSLR,End1 80  MVAR SLR,End1 80 MVAR NSLR,,End2 50 MVAR SLR,End2 50 MVAR NSLR,End2 63 MVAR SLR,End2 63 MVAR NSLR,End2 80  MVAR SLR,End2 80 MVAR NSLR
180,Kalwa,Padghe,2,MSETCL,MSETCL,MSETCL,72,Twin ACSR Moose,517,39.96,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
181,Kalwa,Kharghar,1,MSETCL,MSETCL,MSETCL,28,Twin ACSR Moose,517,15.54,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
182,Kalwa,Pune-PG,1,MSETCL,MSETCL,WRTS-1,104,Twin ACSR Moose,517,57.72,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
183,Karad,Kolhapur,1,MSETCL,MSETCL,MSETCL,105,Twin ACSR Moose,517,58.275,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
184,Karad,Kolhapur,2,MSETCL,MSETCL,MSETCL,105,Twin ACSR Moose,517,58.275,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
185,Karad,Jaigad,1,MSETCL,MSETCL,JAIGAD-IPP,111,Twin ACSR Moose,517,61.605,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
186,Karad,Jaigad,2,MSETCL,MSETCL,JAIGAD-IPP,111,Twin ACSR Moose,517,61.605,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
187,Karad,New Koyna ,1,MSETCL,MSETCL,MSETCL,72,Twin ACSR Moose,517,39.96,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
188,Karad,New Koyna ,2,MSETCL,MSETCL,MSETCL,72,Twin ACSR Moose,517,39.96,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
189,Karad,Solapur-PG,1,WRTMPL/MSETCL,MSETCL,WRTS-1,299,Twin ACSR Moose,517,165.945,50,-,80,Yes,0,1,0,0,0,0,,0,0,0,0,1,0
190,Karad,Lonikhand,1,MSETCL,MSETCL,MSETCL,161,Twin ACSR Moose,517,89.355,80,-,-,-,0,0,0,0,0,1,,0,0,0,0,0,0
191,Kasor,Chorania,1,GETCO,GETCO,GETCO,103,Twin ACSR Moose,517,57.165,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
192,Khandwa,Dhule-MS,1,WRTS-2,WRTS-2,MSETCL,262,Twin ACSR Moose,517,145.41,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
193,Khandwa,Dhule-MS,2,WRTS-2,WRTS-2,MSETCL,262,Twin ACSR Moose,517,145.41,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
194,Khandwa,Rajgarh,1,WRTS-2,WRTS-2,WRTS-2,221,Twin ACSR Moose,517,122.655,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
195,Khandwa,Rajgarh,2,WRTS-2,WRTS-2,WRTS-2,221,Twin ACSR Moose,517,122.655,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
196,Kharghar,Padghe,1,MSETCL,MSETCL,MSETCL,85,Twin ACSR Moose,517,47.175,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
197,Kolhapur,Kolhapur-PG,1,WRTS-1,MSETCL,WRTS-1,39,Twin ACSR Moose,517,21.645,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
198,Kolhapur,Kolhapur-PG,2,WRTS-1,MSETCL,WRTS-1,39,Twin ACSR Moose,517,21.645,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
199,Kolhapur,Solapur-PG,1,WRTMPL,MSETCL,WRTS-1,220,Twin ACSR Moose,517,122.1,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
200,Kolhapur,Solapur-PG,2,WRTMPL,MSETCL,WRTS-1,220,Twin ACSR Moose,517,122.1,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
201,Kolhapur-PG,Mapusa,1,WRTS-1,WRTS-1,WRTS-1,156,Twin ACSR Moose,517,86.58,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
202,Kolhapur-PG,Mapusa,2,WRTS-1,WRTS-1,WRTS-1,156,Twin ACSR Moose,517,86.58,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
203,Koradi,Bhusawal (Khadka),2,MSETCL,MSETCL,MSETCL,343,Twin ACSR Moose,517,190.365,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
204,Koradi,Satpura,1,WRTS-1,MSETCL,MPPTCL,149,Twin ACSR Moose,517,82.695,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
205,Koradi,Bhilai,1,WRTS-1,MSETCL,CSPTCL,272,Twin ACSR Moose,517,150.96,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
206,Koradi,Khaparkheda,1,MSETCL,MSETCL,MSETCL,10,Twin ACSR Moose,517,5.55,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
207,Koradi,Khaparkheda,2,MSETCL,MSETCL,MSETCL,10,Twin ACSR Moose,517,5.55,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
208,Korba (W),Korba-NTPC,1,WRTS-1,CSPTCL,NTPC,14,Twin ACSR Moose,517,7.77,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
209,Korba (W),Raita,1,CSPTCL,CSPTCL,CSPTCL,144,Twin ACSR Moose,517,79.92,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
210,Korba (W),Korba (W)-Ext,1,CSPTCL,CSPTCL,CSPTCL,1,Twin ACSR Moose,517,0.555,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
211,Korba (W)-Ext,Bhilai,1,CSPTCL,CSPTCL,CSPTCL,220,Twin ACSR Moose,517,122.1,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
212,Korba (W)-Ext,Marwa,1,CSPTCL,CSPTCL,CSPTCL,60,Twin ACSR Moose,517,33.3,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
213,Korba-NTPC,Bhilai,1,WRTS-1,NTPC,CSPTCL,197,Twin ACSR Moose,517,109.335,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
214,Korba-NTPC,Bhilai,2,WRTS-1,NTPC,CSPTCL,192,Twin ACSR Moose,517,106.56,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
215,Korba-NTPC,Raipur,1,WRTS-1,NTPC,WRTS-1,212,Twin ACSR Moose,517,117.66,-,-,63,-,0,0,0,0,0,0,,0,0,0,1,0,0
216,Korba-NTPC,Raipur,2,WRTS-1,NTPC,WRTS-1,212,Twin ACSR Moose,517,117.66,-,-,63,-,0,0,0,0,0,0,,0,0,0,1,0,0
217,Korba-NTPC,Sipat,1,WRTS-1,NTPC,NTPC,100,Twin ACSR Moose,517,55.5,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
218,Korba-NTPC,Essar_Mahan,1,WRTS-1,NTPC,ESSAR,218,Twin ACSR Moose,517,120.99,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
219,Korba-NTPC,Vindhyachal,2,WRTS-1,NTPC,NTPC,289,Twin ACSR Moose,517,160.395,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
220,Korba-NTPC,Bhatapara,1,WRTS-1,NTPC,WRTS-1,124,Twin ACSR Moose,517,68.82,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
221,Korba-NTPC,Birsingpur,2,WRTS-2,NTPC,BALCO,260,Twin ACSR Moose,517,144.3,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
222,Korba-NTPC,Vandana,1,WRTS-2,NTPC,Vandana Vidyut,18,Twin ACSR Moose,517,9.99,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
223,Koyna stage-IV,Lonikhand,1,MSETCL,MSETCL,MSETCL,183,Twin ACSR Moose,517,101.565,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
224,Koyna stage-IV,New Koyna,1,MSETCL,MSETCL,MSETCL,14,Twin ACSR Moose,517,7.77,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
225,Koyna stage-IV,New Koyna,2,MSETCL,MSETCL,MSETCL,14,Twin ACSR Moose,517,7.77,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
226,KSK Mahanadi,Raipur,1,WRTS-1,KSK,WRTS-1,147,Twin ACSR Moose,517,81.585,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
227,KSK Mahanadi,Raipur,2,WRTS-1,KSK,WRTS-1,150,Twin ACSR Moose,517,83.25,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
228,KSK Mahanadi,RKM,1,WRTS-1,KSK,RKMPPL,104,Twin ACSR Moose,517,57.72,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
229,KWPCL,Raigarh-PS(Kotra),1,KWPCL,KWPCL,WRTS-1,19,Twin ACSR Moose,517,10.545,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
230,KWPCL,Raigarh-PS(Kotra),2,KWPCL,KWPCL,WRTS-1,19,Twin ACSR Moose,517,10.545,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
231,Lara,Raigarh-PS(Kotra),1,WRTS-1,NTPC,WRTS-1,18,Twin ACSR Moose,517,9.99,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
232,Lara,Raigarh-PS(Kotra),2,WRTS-1,NTPC,WRTS-1,18,Twin ACSR Moose,517,9.99,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
233,Lonikhand,Jejuri,1,MSETCL,MSETCL,MSETCL,48,Twin ACSR Moose,517,26.64,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
234,Lonikhand,Chakan,1,MSETCL,MSETCL,MSETCL,37,Twin ACSR Moose,517,20.535,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
235,Lonikhand,Pune-PG,1,MSETCL,MSETCL,WRTS-1,40,Twin ACSR Moose,517,22.2,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
236,Lonikhand-II,Lonikhand,1,MSETCL,MSETCL,MSETCL,1,Twin ACSR Moose,517,0.555,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
237,Lonikhand-II,Lonikhand,2,MSETCL,MSETCL,MSETCL,1,Twin ACSR Moose,517,0.555,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
238,Magarawada,Kala,1,WRTS-2,WRTS-2,WRTS-2,53,Twin ACSR Moose,517,29.415,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
239,Magarawada,Kala,2,WRTS-2,WRTS-2,WRTS-2,53,Twin ACSR Moose,517,29.415,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
240,Magarawada,Navsari,1,WRTS-2,WRTS-2,WRTS-2,126,Twin ACSR Moose,517,69.93,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
241,Magarawada,Navsari,2,WRTS-2,WRTS-2,WRTS-2,126,Twin ACSR Moose,517,69.93,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
242,Malwa,Chhegaon,1,MPPTCL,MPPTCL,MPPTCL,53,Twin ACSR Moose,517,29.415,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
243,Malwa,Pithampur,1,MPPTCL,MPPTCL,MPPTCL,136,Twin ACSR Moose,517,75.48,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
244,Malwa,Pithampur,2,MPPTCL,MPPTCL,MPPTCL,136,Twin ACSR Moose,517,75.48,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
245,Malwa,Julwania,1,MPPTCL,MPPTCL,MPPTCL,170,Twin ACSR Moose,517,94.35,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
246,Mansar,Chorania,1,WRTS-2,GETCO,GETCO,94,Triple ACSR Snowbird,626,63.262,-,-,63,-,0,0,0,0,0,0,,0,0,0,1,0,0
247,MCCPL,Bilaspur ,1,WRTS-1,MCCPL,WRTS-1,45,Twin ACSR Moose,517,24.975,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
248,Nagda,Dehgam,1,WRTS-2,MPPTCL,WRTS-2,331,Twin ACSR Moose,517,183.705,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
249,Nagda,Dehgam,2,WRTS-2,MPPTCL,WRTS-2,331,Twin ACSR Moose,517,183.705,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
250,Nagda,Shujalpur,1,WRTS-2,MPPTCL,WRTS-2,202,Twin ACSR Moose,517,112.11,-,-,63,Yes,0,0,0,0,0,0,,0,0,1,0,0,0
251,Nagda,Shujalpur,2,WRTS-2,MPPTCL,WRTS-2,152,Twin ACSR Moose,517,84.36,-,-,63,Yes,0,0,0,0,0,0,,0,0,1,0,0,0
252,Nandgaonpeth,Koradi,1,MSETCL,MSETCL,MSETCL,140,Twin ACSR Moose,517,77.7,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
253,Navsari,DGEN,1,TPL,WRTS-2,DGEN,105,Twin ACSR Moose,517,58.275,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
254,Navsari,DGEN,2,TPL,WRTS-2,DGEN,105,Twin ACSR Moose,517,58.275,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
255,NSPCL,Raipur,1,NSPCL,NSPCL,WRTS-1,14,Twin ACSR Moose,517,7.77,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
256,NSPCL,Raipur,2,NSPCL,NSPCL,WRTS-1,14,Twin ACSR Moose,517,7.77,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
257,Padghe,Boisar,1,WRTS-2,MSETCL,WRTS-2,101,Twin ACSR Moose,517,56.055,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
258,Padghe,Nagothane,1,MSETCL,MSETCL,MSETCL,116,Twin ACSR Moose,517,64.38,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
259,Padghe,Nagothane,2,MSETCL,MSETCL,MSETCL,116,Twin ACSR Moose,517,64.38,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
260,Padghe,Pune-PG,1,MSETCL,MSETCL,WRTS-1,96,Twin ACSR Moose,517,53.28,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
261,Parli-M,Lonikhand-II,1,MSETCL,MSETCL,MSETCL,284,Twin ACSR Moose,517,157.62,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
262,Parli-M,Lonikhand-II,2,MSETCL,MSETCL,MSETCL,284,Twin ACSR Moose,517,157.62,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
263,Parli-M,Sholapur-M,1,MSETCL,MSETCL,MSETCL,182,Twin ACSR Moose,517,101.01,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
264,Parli-M,Chandrapur-II,1,MSETCL,MSETCL,MSETCL,357,Twin ACSR Moose,517,198.135,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
265,Parli-M,Nanded,1,MSETCL,MSETCL,MSETCL,163,Twin ACSR Moose,517,90.465,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
266,Parli-M,Parli-PG,1,WRTS-1,MSETCL,WRTS-1,5,Twin ACSR Moose,517,2.775,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
267,Parli-M,Parli-PG,2,WRTS-1,MSETCL,WRTS-1,5,Twin ACSR Moose,517,2.775,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
268,Parli-PG,Pune-PG(Shikrapur),1,WRTMPL/WRTS-1,WRTS-1,WRTS-1,272,Twin ACSR Moose,517,150.96,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
269,Parli-PG,Pune-PG(Shikrapur),2,WRTMPL/WRTS-1,WRTS-1,WRTS-1,272,Twin ACSR Moose,517,150.96,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
270,Parli-PG,Solapur-PG,1,WRTMPL/WRTS-1,WRTS-1,WRTS-1,65,Twin ACSR Moose,517,36.075,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
271,Parli-PG,Solapur-PG,2,WRTMPL/WRTS-1,WRTS-1,WRTS-1,65,Twin ACSR Moose,517,36.075,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
272,Pathadi,Bilaspur ,1,LANCO,LANCO,WRTS-1,31,Twin ACSR Moose,517,17.205,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
273,Pathadi,Bilaspur ,2,LANCO,LANCO,WRTS-1,31,Twin ACSR Moose,517,17.205,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
274,Pirana-T,Pirana-PG,1,TPL,TPL,WRTS-2,6,Twin ACSR Moose,517,3.33,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
275,Pirana-T,Pirana-PG,2,TPL,TPL,WRTS-2,6,Twin ACSR Moose,517,3.33,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
276,Pune-PG(Shikrapur),Pune-PG,1,WRTMPL/WRTS-1,WRTS-1,WRTS-1,64,Twin ACSR Moose,517,35.52,-,-,50,Yes,0,0,0,0,0,0,,1,0,0,0,0,0
277,Pune-PG(Shikrapur),Pune-PG,2,WRTMPL/WRTS-1,WRTS-1,WRTS-1,64,Twin ACSR Moose,517,35.52,-,-,50,Yes,0,0,0,0,0,0,,1,0,0,0,0,0
278,Pune-PG(Shikrapur),Pune-PG,3,WRTS-1,WRTS-1,WRTS-1,64,Twin ACSR Moose,517,35.52,-,-,50,Yes,0,0,0,0,0,0,,1,0,0,0,0,0
279,Pune-PG(Shikrapur),Pune-PG,4,WRTS-1,WRTS-1,WRTS-1,64,Twin ACSR Moose,517,35.52,-,-,50,Yes,0,0,0,0,0,0,,1,0,0,0,0,0
280,Raigarh,India Bharath,1,WRTS-1/ERTS-2,WRTS-1,ERTS-2,110,Twin ACSR Moose,517,61.05,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
281,Raigarh,Jharsuguda,2,WRTS-1/ERTS-2,WRTS-1,ERTS-2,125,Twin ACSR Moose,517,69.375,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
282,Raigarh,Rourkela,1,WRTS-1/ERTS-2,WRTS-1,ERTS-2,130,Twin ACSR Moose,517,72.15,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
283,Raigarh,Sterlite,2,WRTS-1/ERTS-2,WRTS-1,ERTS-2,130,Twin ACSR Moose,517,72.15,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
284,Raigarh,Raipur,1,WRTS-1,WRTS-1,WRTS-1,217,Twin ACSR Moose,517,120.435,-,-,63,-,0,0,0,0,0,0,,0,0,0,1,0,0
285,Raigarh,Raipur,2,WRTS-1,WRTS-1,WRTS-1,217,Twin ACSR Moose,517,120.435,-,-,63,-,0,0,0,0,0,0,,0,0,0,1,0,0
286,Raigarh,Raigarh-PS(Kotra),1,WRTS-1,WRTS-1,WRTS-1,7,Twin ACSR Moose,517,3.885,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
287,Raigarh,Raigarh-PS(Kotra),2,WRTS-1,WRTS-1,WRTS-1,7,Twin ACSR Moose,517,3.885,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
288,Raigarh,KSK Mahanadi,1,WRTS-1,WRTS-1,KSK,119,Twin ACSR Moose,517,66.045,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
289,Raipur,Wardha,1,WRTS-1,WRTS-1,WRTS-1,371,Quad ACSR Moose,681,271.572,63,-,63,-,0,0,0,1,0,0,,0,0,0,1,0,0
290,Raipur,Wardha,2,WRTS-1,WRTS-1,WRTS-1,371,Quad ACSR Moose,681,271.572,63,-,63,-,0,0,0,1,0,0,,0,0,0,1,0,0
291,Raipur,Raipur-PS(Durg),1,WRTS-1,WRTS-1,WRTS-1,22,Twin ACSR Moose,517,12.21,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
292,Raipur,Raipur-PS(Durg),2,WRTS-1,WRTS-1,WRTS-1,22,Twin ACSR Moose,517,12.21,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
293,Raipur-PS(Durg),GMR-CG,1,GMR,WRTS-1,GMR-CG,65,Twin ACSR Moose,517,36.075,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
294,Raipur-PS(Durg),GMR-CG,2,GMR,WRTS-1,GMR-CG,65,Twin ACSR Moose,517,36.075,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
295,Raita,Marwa,1,CSPTCL,CSPTCL,CSPTCL,141,Twin ACSR Moose,517,78.255,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
296,Raita,Marwa,2,CSPTCL,CSPTCL,CSPTCL,141,Twin ACSR Moose,517,78.255,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
297,Rajgarh,Nagda,1,WRTS-2,WRTS-2,MPPTCL,104,Twin ACSR Moose,517,57.72,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
298,Rajgarh,Nagda,2,WRTS-2,WRTS-2,MPPTCL,104,Twin ACSR Moose,517,57.72,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
299,Rajgarh,Kasor,1,WRTGPL,WRTS-2,GETCO,243,Twin ACSR Moose,517,134.865,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
300,Rajgarh,Kasor,2,WRTGPL,WRTS-2,GETCO,243,Twin ACSR Moose,517,134.865,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
301,Ranchodpura,Zerda(Kansari),1,WRTGPL,GETCO,GETCO,140,Twin ACSR Moose,517,77.7,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
302,Ranchodpura,Zerda(Kansari),2,WRTGPL,GETCO,GETCO,140,Twin ACSR Moose,517,77.7,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
303,Ranchodpura,Chorania,1,WRTGPL,GETCO,GETCO,103,Twin ACSR Moose,517,57.165,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
304,Ranchodpura,Chorania,2,WRTGPL,GETCO,GETCO,103,Twin ACSR Moose,517,57.165,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
305,RGPPL,New Koyna ,1,MSETCL,RGPPL,MSETCL,60,Twin ACSR Moose,517,33.3,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
306,RGPPL,New Koyna ,2,MSETCL,RGPPL,MSETCL,60,Twin ACSR Moose,517,33.3,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
307,RGPPL,Nagothane,1,MSETCL,RGPPL,MSETCL,136,Twin ACSR Moose,517,75.48,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
308,RGPPL,Nagothane,2,MSETCL,RGPPL,MSETCL,136,Twin ACSR Moose,517,75.48,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
309,RKM,Raigarh,1,WRTS-1,RKMPPL,WRTS-1,6,Twin ACSR Moose,517,3.33,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
310,Satna,Bina-PG,1,WRTS-2,WRTS-2,WRTS-2,276,Twin ACSR Moose,517,153.18,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
311,Satna,Bina-PG,2,WRTS-2,WRTS-2,WRTS-2,276,Twin ACSR Moose,517,153.18,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
312,Satna,Bina-NTS,3,WRTS-2,WRTS-2,NHPTL,272,Twin ACSR Moose,517,150.96,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
313,Satna,Bina-PG,4,WRTS-2,WRTS-2,WRTS-2,273,Twin ACSR Moose,517,151.515,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
314,Satna,JP-Nigrie,1,Jaypee,WRTS-2,Jaypee,161,Twin ACSR Moose,517,89.355,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
315,Satna,JP-Nigrie,2,Jaypee,WRTS-2,Jaypee,161,Twin ACSR Moose,517,89.355,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
316,Satpura,Indira sagar,1,MPPTCL,MPPTCL,MPPTCL,189,Twin ACSR Moose,517,104.895,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
317,Satpura,Itarsi,1,WRTS-2,MPPTCL,WRTS-2,79,Twin ACSR Moose,517,43.845,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
318,Satpura,Astha,1,MPPTCL,MPPTCL,MPPTCL,240,Twin ACSR Moose,517,133.2,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
319,Satpura,Astha,2,MPPTCL,MPPTCL,MPPTCL,240,Twin ACSR Moose,517,133.2,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
320,Seoni,Satpura,1,WRTS-1,WRTS-1,MPPTCL,156,Twin ACSR Moose,517,86.58,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
321,Seoni,Khandwa,1,WRTS-1,WRTS-1,WRTS-2,352,Quad AAAC Moose,643,243.936,80,-,80,Yes,0,0,0,0,0,1,,0,0,0,0,1,0
322,Seoni,Khandwa,2,WRTS-1,WRTS-1,WRTS-2,352,Quad AAAC Moose,643,243.936,80,-,80,Yes,0,0,0,0,0,1,,0,0,0,0,1,0
323,Sholapur-M,Solapur-PG,1,MSETCL,MSETCL,WRTS-1,178,Twin ACSR Moose,517,98.79,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
324,Shujalpur,RAPP,1,RTCL,WRTS-2,NPCIL,201,Twin ACSR Moose,517,111.555,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
325,Shujalpur,RAPP,2,RTCL,WRTS-2,NPCIL,201,Twin ACSR Moose,517,111.555,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
326,Sipat,Raipur,1,WRTS-1,NTPC,WRTS-1,149,Twin ACSR Moose,517,82.695,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
327,Sipat,Raipur,2,WRTS-1,NTPC,WRTS-1,149,Twin ACSR Moose,517,82.695,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
328,Sipat,Raipur,3,WRTS-1,NTPC,WRTS-1,149,Twin ACSR Moose,517,82.695,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
329,Sipat,Ranchi,1,WRTS-1/ERTS-1,NTPC,ERTS-1,405,Twin ACSR Moose,517,224.775,80,-,-,-,0,0,0,0,0,1,,0,0,0,0,0,0
330,Sipat,Ranchi,2,WRTS-1/ERTS-1,NTPC,ERTS-1,405,Twin ACSR Moose,517,224.775,80,-,-,-,0,0,0,0,0,1,,0,0,0,0,0,0
331,SKS,Raigarh-PS(Kotra),1,WRTS-1,SKS,WRTS-1,28,Twin ACSR Moose,517,15.54,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
332,SKS,Raigarh-PS(Kotra),2,WRTS-1,SKS,WRTS-1,28,Twin ACSR Moose,517,15.54,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
