Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End1 50 MVAR SLR,End1 50 MVAR NSLR,End1 63 MVAR SLR,End1 63 MVAR NSLR,End1 80  MVAR SLR,End1 80 MVAR NSLR,,End2 50 MVAR SLR,End2 50 MVAR NSLR,End2 63 MVAR SLR,End2 63 MVAR NSLR,End2 80  MVAR SLR,End2 80 MVAR NSLR
71,Bhusawal (Khadka),Deepnagar,2,MSETCL,MSETCL,MSETCL,15,Twin ACSR Moose,517,8.325,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
72,Bina-MP,JP-Bina,1,MPPTCL,MPPTCL,Jaypee,20,Twin ACSR Moose,517,11.1,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
73,Bina-MP,Bina-PG,1,WRTS-2,MPPTCL,WRST-2,3,Twin ACSR Moose,517,1.665,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
74,Bina-MP,Bina-PG,2,WRTS-2,MPPTCL,WRST-2,3,Twin ACSR Moose,517,1.665,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
75,Bina-MP,Bina-PG,3,WRTS-2,MPPTCL,WRST-2,3,Twin ACSR Moose,517,1.665,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
76,Bina-MP,Bina-PG,4,WRTS-2,MPPTCL,WRST-2,3,Twin ACSR Moose,517,1.665,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
77,Bina-PG,Shujalpur,1,WRTS-2,WRST-2,WRST-2,200,Twin ACSR Moose,517,111,63,Yes,50,-,0,0,1,0,0,0,,0,1,0,0,0,0
78,Bina-PG,Shujalpur,2,WRTS-2,WRST-2,WRST-2,200,Twin ACSR Moose,517,111,63,Yes,50,-,0,0,1,0,0,0,,0,1,0,0,0,0
79,Bina-PG,JP-Bina,1,WRTS-2,WRTS-2,Jaypee,20,Twin ACSR Moose,517,11.1,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
80,Bina-PG,Bina-NTS,1,WRTS-2,WRTS-2,NHPTL,1,Twin ACSR Moose,517,0.555,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
81,Bina-PG,NHPTL,1,WRTS-2,WRTS-2,NHPTL,0.4,Twin ACSR Moose,517,0.222,-,-,-,-,,,,,,,,,,,,,
82,Birsingpur,Katni,1,MPPTCL,MPPTCL,MPPTCL,118,Twin ACSR Moose,517,65.49,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
83,Birsingpur,Katni,2,MPPTCL,MPPTCL,MPPTCL,118,Twin ACSR Moose,517,65.49,63,-,-,-,0,0,0,1,0,0,,0,0,0,0,0,0
84,Birsingpur,Vandana,1,WRTS-2,MPPTCL,Vandana Vidyut,215,Twin ACSR Moose,517,119.325,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
85,CGPL,Chorania,1,WRTS-2,CGPL,GETCO,314,Triple ACSR Snowbird,626,211.322,63,Yes,63,-,0,0,1,0,0,0,,0,0,0,1,0,0
86,CGPL,Mansar,1,WRTS-2,CGPL,GETCO,224,Triple ACSR Snowbird,626,150.752,63,Yes,-,-,0,0,1,0,0,0,,0,0,0,0,0,0
87,CGPL,Jetpur,1,WRTS-2,CGPL,GETCO,334,Triple ACSR Snowbird,626,224.782,63,Yes,63,-,0,0,1,0,0,0,,0,0,0,1,0,0
88,CGPL,Jetpur,2,WRTS-2,CGPL,GETCO,334,Triple ACSR Snowbird,626,224.782,63,Yes,63,-,0,0,1,0,0,0,,0,0,0,1,0,0
89,CGPL,Bachau,1,WRTS-2,CGPL,WRTS-2,100,Triple ACSR Snowbird,626,67.3,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
90,CGPL,Bachau,2,WRTS-2,CGPL,WRTS-2,100,Triple ACSR Snowbird,626,67.3,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
91,Chakan,Pune-PG,1,WRTS-1,MSETCL,WRTS-1,18,Twin ACSR Moose,517,9.99,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
92,Chandrapur,Bhadrawati,1,WRTS-1,MSETCL,WRTS-1,20,Twin ACSR Moose,517,11.1,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
93,Chandrapur,Bhadrawati,2,WRTS-1,MSETCL,WRTS-1,20,Twin ACSR Moose,517,11.1,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
94,Chandrapur,Bhadrawati,3,WRTS-1,MSETCL,WRTS-1,22,Twin ACSR Moose,517,12.21,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
95,Chandrapur,Bhadrawati,4,WRTS-1,MSETCL,WRTS-1,22,Twin ACSR Moose,517,12.21,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
96,Chandrapur,Khaparkheda,1,MSETCL,MSETCL,MSETCL,156,Twin ACSR Moose,517,86.58,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
97,Chandrapur,Chandrapur-II,1,MSETCL,MSETCL,MSETCL,1,Twin ACSR Moose,517,0.555,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
98,Chandrapur,Chandrapur-II,2,MSETCL,MSETCL,MSETCL,1,Twin ACSR Moose,517,0.555,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
99,Chandrapur,Parli-M,3,MSETCL,MSETCL,MSETCL,371,Twin ACSR Moose,517,205.905,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
100,Chandrapur-II,Dhariwal,1,MSETCL,MSETCL,Dhariwal Infra,8,Twin ACSR Moose,517,4.44,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
101,Chandrapur-II,Dhariwal,2,MSETCL,MSETCL,Dhariwal Infra,8,Twin ACSR Moose,517,4.44,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
102,Chandrapur-II,Nanded,1,MSETCL,MSETCL,MSETCL,257,Twin ACSR Moose,,,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
103,Chhegaon,Julwania,1,MPPTCL,MPPTCL,MPPTCL,114,Twin ACSR Moose,517,63.27,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
104,Chorania,Kosamba,1,GETCO,GETCO,GETCO,230,Twin ACSR Moose,517,127.65,50,-,63,-,0,1,0,0,0,0,,0,0,0,1,0,0
105,Chorania,Kosamba,2,GETCO,GETCO,GETCO,230,Twin ACSR Moose,517,127.65,50,-,63,-,0,1,0,0,0,0,,0,0,0,1,0,0
106,Damoh,Birsingpur,1,WRTS-2,WRTS-2,MPPTCL,227,Twin ACSR Moose,517,125.985,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
107,Damoh,Birsingpur,2,WRTS-2,WRTS-2,MPPTCL,227,Twin ACSR Moose,517,125.985,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
